STATE,YEAR,MONTH_NAME,EVENT_TYPE
"MONTANA",1994,"June","Hail"
"MONTANA",1994,"June","Hail"
"MONTANA",1994,"August","Thunderstorm Wind"
"NEBRASKA",1994,"June","Thunderstorm Wind"
"NEBRASKA",1994,"June","Hail"
"NEBRASKA",1994,"June","Thunderstorm Wind"
"NEBRASKA",1994,"May","Hail"
"NEBRASKA",1994,"May","Hail"
"NEBRASKA",1994,"May","Hail"
"NEBRASKA",1994,"May","Hail"
"NEBRASKA",1994,"July","Hail"
"NEBRASKA",1994,"May","Hail"
"MONTANA",1994,"April","Thunderstorm Wind"
"NEBRASKA",1994,"June","Hail"
"NEBRASKA",1994,"July","Thunderstorm Wind"
"NEBRASKA",1994,"July","Hail"
"NEBRASKA",1994,"July","Hail"
"NEBRASKA",1994,"July","Hail"
"NEBRASKA",1994,"July","Thunderstorm Wind"
"NEBRASKA",1994,"July","Thunderstorm Wind"
"NORTH CAROLINA",1994,"August","Hail"
"NORTH CAROLINA",1994,"August","Thunderstorm Wind"
"NEW YORK",1994,"September","Hail"
"NORTH DAKOTA",1994,"August","Hail"
"NORTH DAKOTA",1994,"August","Thunderstorm Wind"
"ALABAMA",1994,"June","Thunderstorm Wind"
"ALABAMA",1994,"March","Hail"
"ALABAMA",1994,"April","Thunderstorm Wind"
"ALABAMA",1994,"June","Thunderstorm Wind"
"OKLAHOMA",1994,"April","Hail"
"OKLAHOMA",1994,"April","Hail"
"LOUISIANA",1994,"May","Hail"
"LOUISIANA",1994,"May","Hail"
"LOUISIANA",1994,"June","Hail"
"LOUISIANA",1994,"June","Thunderstorm Wind"
"LOUISIANA",1994,"June","Hail"
"LOUISIANA",1994,"June","Thunderstorm Wind"
"LOUISIANA",1994,"June","Thunderstorm Wind"
"LOUISIANA",1994,"June","Thunderstorm Wind"
"LOUISIANA",1994,"November","Thunderstorm Wind"
"LOUISIANA",1994,"January","Hail"
"LOUISIANA",1994,"April","Thunderstorm Wind"
"LOUISIANA",1994,"April","Hail"
"LOUISIANA",1994,"April","Thunderstorm Wind"
"LOUISIANA",1994,"April","Hail"
"MINNESOTA",1994,"July","Hail"
"MINNESOTA",1994,"July","Hail"
"PENNSYLVANIA",1994,"August","Thunderstorm Wind"
"PENNSYLVANIA",1994,"August","Thunderstorm Wind"
"PENNSYLVANIA",1994,"August","Thunderstorm Wind"
"PENNSYLVANIA",1994,"September","Hail"
"PENNSYLVANIA",1994,"September","Hail"
"PENNSYLVANIA",1994,"September","Hail"
"OKLAHOMA",1994,"February","Hail"
"LOUISIANA",1994,"January","Hail"
"LOUISIANA",1994,"April","Thunderstorm Wind"
"LOUISIANA",1994,"April","Thunderstorm Wind"
"MAINE",1994,"June","Thunderstorm Wind"
"MAINE",1994,"June","Hail"
"MAINE",1994,"June","Hail"
"OKLAHOMA",1994,"March","Hail"
"OKLAHOMA",1994,"March","Hail"
"OKLAHOMA",1994,"March","Hail"
"OKLAHOMA",1994,"April","Hail"
"OKLAHOMA",1994,"March","Hail"
"OKLAHOMA",1994,"April","Hail"
"OKLAHOMA",1994,"April","Hail"
"OKLAHOMA",1994,"April","Hail"
"OKLAHOMA",1994,"April","Hail"
"OKLAHOMA",1994,"April","Hail"
"OKLAHOMA",1994,"April","Hail"
"OKLAHOMA",1994,"April","Hail"
"OKLAHOMA",1994,"April","Hail"
"OKLAHOMA",1994,"June","Thunderstorm Wind"
"OKLAHOMA",1994,"June","Thunderstorm Wind"
"OKLAHOMA",1994,"July","Thunderstorm Wind"
"OKLAHOMA",1994,"July","Thunderstorm Wind"
"NEBRASKA",1994,"July","Thunderstorm Wind"
"FLORIDA",1994,"September","Tornado"
"GEORGIA",1994,"July","Thunderstorm Wind"
"TEXAS",1994,"June","Thunderstorm Wind"
"TEXAS",1994,"August","Thunderstorm Wind"
"MICHIGAN",1994,"June","Thunderstorm Wind"
"MICHIGAN",1994,"July","Thunderstorm Wind"
"LOUISIANA",1994,"January","Hail"
"LOUISIANA",1994,"April","Hail"
"OKLAHOMA",1994,"November","Thunderstorm Wind"
"OKLAHOMA",1994,"November","Hail"
"OKLAHOMA",1994,"November","Hail"
"OKLAHOMA",1994,"July","Hail"
"OKLAHOMA",1994,"July","Thunderstorm Wind"
"OKLAHOMA",1994,"July","Hail"
"OKLAHOMA",1994,"March","Hail"
"OKLAHOMA",1994,"March","Hail"
"OKLAHOMA",1994,"March","Hail"
"OKLAHOMA",1994,"March","Hail"
"OKLAHOMA",1994,"March","Hail"
"OKLAHOMA",1994,"March","Hail"
"OKLAHOMA",1994,"March","Hail"
"OKLAHOMA",1994,"April","Hail"
"OKLAHOMA",1994,"April","Hail"
"OKLAHOMA",1994,"May","Hail"
"OKLAHOMA",1994,"May","Thunderstorm Wind"
"OKLAHOMA",1994,"July","Thunderstorm Wind"
"OKLAHOMA",1994,"July","Thunderstorm Wind"
"OKLAHOMA",1994,"July","Thunderstorm Wind"
"OKLAHOMA",1994,"July","Thunderstorm Wind"
"OKLAHOMA",1994,"August","Hail"
"OKLAHOMA",1994,"October","Hail"
"OKLAHOMA",1994,"October","Hail"
"OKLAHOMA",1994,"October","Thunderstorm Wind"
"OKLAHOMA",1994,"November","Hail"
"OKLAHOMA",1994,"June","Thunderstorm Wind"
"OKLAHOMA",1994,"July","Hail"
"OKLAHOMA",1994,"July","Thunderstorm Wind"
"OKLAHOMA",1994,"July","Thunderstorm Wind"
"OKLAHOMA",1994,"October","Thunderstorm Wind"
"PENNSYLVANIA",1994,"June","Tornado"
"PENNSYLVANIA",1994,"June","Thunderstorm Wind"
"ILLINOIS",1994,"July","Thunderstorm Wind"
"ILLINOIS",1994,"July","Thunderstorm Wind"
"MISSISSIPPI",1994,"May","Hail"
"MISSISSIPPI",1994,"June","Hail"
"MASSACHUSETTS",1994,"July","Hail"
"MARYLAND",1994,"May","Thunderstorm Wind"
"MARYLAND",1994,"June","Thunderstorm Wind"
"MARYLAND",1994,"August","Thunderstorm Wind"
"MARYLAND",1994,"June","Hail"
"MARYLAND",1994,"November","Hail"
"PENNSYLVANIA",1994,"July","Thunderstorm Wind"
"PENNSYLVANIA",1994,"July","Thunderstorm Wind"
"PENNSYLVANIA",1994,"July","Hail"
"PENNSYLVANIA",1994,"August","Thunderstorm Wind"
"PENNSYLVANIA",1994,"August","Thunderstorm Wind"
"NORTH CAROLINA",1994,"July","Thunderstorm Wind"
"NORTH DAKOTA",1994,"August","Hail"
"NORTH DAKOTA",1994,"August","Thunderstorm Wind"
"NORTH DAKOTA",1994,"August","Tornado"
"NORTH DAKOTA",1994,"August","Hail"
"NORTH DAKOTA",1994,"August","Hail"
"NORTH DAKOTA",1994,"August","Hail"
"NORTH DAKOTA",1994,"September","Hail"
"NORTH DAKOTA",1994,"May","Tornado"
"NORTH DAKOTA",1994,"August","Hail"
"LOUISIANA",1994,"May","Thunderstorm Wind"
"LOUISIANA",1994,"June","Thunderstorm Wind"
"LOUISIANA",1994,"June","Thunderstorm Wind"
"IOWA",1994,"April","Hail"
"IOWA",1994,"April","Thunderstorm Wind"
"IOWA",1994,"April","Hail"
"IOWA",1994,"April","Thunderstorm Wind"
"IOWA",1994,"April","Thunderstorm Wind"
"IOWA",1994,"April","Hail"
"INDIANA",1994,"April","Thunderstorm Wind"
"INDIANA",1994,"April","Thunderstorm Wind"
"INDIANA",1994,"April","Hail"
"IOWA",1994,"April","Hail"
"ILLINOIS",1994,"April","Thunderstorm Wind"
"ILLINOIS",1994,"April","Thunderstorm Wind"
"IOWA",1994,"June","Hail"
"IOWA",1994,"June","Hail"
"IOWA",1994,"April","Thunderstorm Wind"
"IOWA",1994,"June","Thunderstorm Wind"
"MAINE",1994,"June","Thunderstorm Wind"
"FLORIDA",1994,"August","Thunderstorm Wind"
"FLORIDA",1994,"June","Tornado"
"GEORGIA",1994,"June","Thunderstorm Wind"
"GEORGIA",1994,"July","Thunderstorm Wind"
"SOUTH CAROLINA",1994,"July","Thunderstorm Wind"
"OKLAHOMA",1994,"April","Hail"
"OKLAHOMA",1994,"April","Hail"
"OKLAHOMA",1994,"April","Hail"
"OKLAHOMA",1994,"April","Hail"
"OKLAHOMA",1994,"April","Hail"
"OKLAHOMA",1994,"April","Hail"
"OKLAHOMA",1994,"April","Hail"
"OKLAHOMA",1994,"April","Hail"
"ILLINOIS",1994,"April","Thunderstorm Wind"
"ILLINOIS",1994,"May","Hail"
"IOWA",1994,"April","Thunderstorm Wind"
"NEW JERSEY",1994,"June","Hail"
"NEW JERSEY",1994,"June","Thunderstorm Wind"
"NEW JERSEY",1994,"June","Thunderstorm Wind"
"NEW JERSEY",1994,"July","Thunderstorm Wind"
"ARKANSAS",1994,"April","Thunderstorm Wind"
"ARKANSAS",1994,"June","Thunderstorm Wind"
"PENNSYLVANIA",1994,"September","Thunderstorm Wind"
"TEXAS",1994,"June","Hail"
"LOUISIANA",1994,"July","Thunderstorm Wind"
"LOUISIANA",1994,"July","Thunderstorm Wind"
"LOUISIANA",1994,"October","Thunderstorm Wind"
"LOUISIANA",1994,"November","Thunderstorm Wind"
"LOUISIANA",1994,"May","Hail"
"LOUISIANA",1994,"May","Hail"
"LOUISIANA",1994,"May","Thunderstorm Wind"
"LOUISIANA",1994,"May","Thunderstorm Wind"
"LOUISIANA",1994,"May","Thunderstorm Wind"
"LOUISIANA",1994,"June","Thunderstorm Wind"
"FLORIDA",1994,"August","Thunderstorm Wind"
"ARKANSAS",1994,"April","Hail"
"ARKANSAS",1994,"April","Hail"
"ARKANSAS",1994,"April","Hail"
"ARKANSAS",1994,"April","Hail"
"ARKANSAS",1994,"April","Hail"
"ARKANSAS",1994,"June","Thunderstorm Wind"
"ARKANSAS",1994,"June","Hail"
"ARKANSAS",1994,"June","Thunderstorm Wind"
"ARKANSAS",1994,"June","Hail"
"MINNESOTA",1994,"July","Hail"
"MINNESOTA",1994,"June","Hail"
"OKLAHOMA",1994,"April","Hail"
"OKLAHOMA",1994,"June","Hail"
"OKLAHOMA",1994,"June","Thunderstorm Wind"
"OKLAHOMA",1994,"June","Thunderstorm Wind"
"OKLAHOMA",1994,"July","Thunderstorm Wind"
"OKLAHOMA",1994,"July","Thunderstorm Wind"
"OKLAHOMA",1994,"August","Thunderstorm Wind"
"OKLAHOMA",1994,"August","Thunderstorm Wind"
"OKLAHOMA",1994,"October","Hail"
"OKLAHOMA",1994,"April","Thunderstorm Wind"
"IOWA",1994,"April","Thunderstorm Wind"
"IOWA",1994,"June","Thunderstorm Wind"
"KANSAS",1994,"May","Thunderstorm Wind"
"KANSAS",1994,"May","Thunderstorm Wind"
"KANSAS",1994,"May","Thunderstorm Wind"
"KANSAS",1994,"May","Hail"
"KANSAS",1994,"May","Hail"
"KANSAS",1994,"June","Hail"
"KANSAS",1994,"July","Thunderstorm Wind"
"KANSAS",1994,"July","Hail"
"TEXAS",1994,"April","Hail"
"TEXAS",1994,"April","Hail"
"TEXAS",1994,"April","Tornado"
"TEXAS",1994,"April","Tornado"
"TEXAS",1994,"April","Hail"
"TEXAS",1994,"April","Hail"
"TEXAS",1994,"May","Hail"
"TEXAS",1994,"May","Hail"
"TEXAS",1994,"May","Hail"
"TEXAS",1994,"May","Hail"
"TEXAS",1994,"May","Hail"
"TEXAS",1994,"May","Hail"
"MISSOURI",1994,"April","Hail"
"MISSOURI",1994,"April","Thunderstorm Wind"
"NEBRASKA",1994,"May","Hail"
"NEBRASKA",1994,"May","Thunderstorm Wind"
"NEBRASKA",1994,"July","Hail"
"NEBRASKA",1994,"July","Thunderstorm Wind"
"NEBRASKA",1994,"July","Hail"
"NEBRASKA",1994,"July","Thunderstorm Wind"
"OHIO",1994,"June","Thunderstorm Wind"
"OHIO",1994,"August","Thunderstorm Wind"
"NEBRASKA",1994,"April","Hail"
"NEBRASKA",1994,"June","Thunderstorm Wind"
"NEBRASKA",1994,"July","Hail"
"NEBRASKA",1994,"July","Hail"
"NEBRASKA",1994,"July","Thunderstorm Wind"
"INDIANA",1994,"April","Thunderstorm Wind"
"INDIANA",1994,"April","Thunderstorm Wind"
"MISSOURI",1994,"March","Hail"
"MISSOURI",1994,"April","Thunderstorm Wind"
"MISSOURI",1994,"April","Tornado"
"MISSOURI",1994,"April","Hail"
"MISSOURI",1994,"April","Hail"
"MISSOURI",1994,"April","Thunderstorm Wind"
"GEORGIA",1994,"June","Thunderstorm Wind"
"GEORGIA",1994,"June","Hail"
"GEORGIA",1994,"June","Hail"
"GEORGIA",1994,"June","Hail"
"GEORGIA",1994,"June","Thunderstorm Wind"
"GEORGIA",1994,"June","Tornado"
"GEORGIA",1994,"August","Thunderstorm Wind"
"SOUTH CAROLINA",1994,"June","Thunderstorm Wind"
"SOUTH CAROLINA",1994,"June","Thunderstorm Wind"
"SOUTH CAROLINA",1994,"September","Thunderstorm Wind"
"OHIO",1994,"June","Thunderstorm Wind"
"OHIO",1994,"June","Thunderstorm Wind"
"OHIO",1994,"July","Thunderstorm Wind"
"OHIO",1994,"August","Thunderstorm Wind"
"OHIO",1994,"August","Thunderstorm Wind"
"OHIO",1994,"September","Thunderstorm Wind"
"OHIO",1994,"September","Hail"
"OHIO",1994,"September","Thunderstorm Wind"
"OHIO",1994,"June","Thunderstorm Wind"
"OKLAHOMA",1994,"April","Hail"
"OKLAHOMA",1994,"April","Thunderstorm Wind"
"OKLAHOMA",1994,"April","Thunderstorm Wind"
"OKLAHOMA",1994,"April","Thunderstorm Wind"
"OKLAHOMA",1994,"April","Thunderstorm Wind"
"OKLAHOMA",1994,"April","Hail"
"ARKANSAS",1994,"July","Thunderstorm Wind"
"ARKANSAS",1994,"July","Thunderstorm Wind"
"ARKANSAS",1994,"July","Thunderstorm Wind"
"ARKANSAS",1994,"November","Thunderstorm Wind"
"OKLAHOMA",1994,"May","Hail"
"OKLAHOMA",1994,"May","Hail"
"OKLAHOMA",1994,"June","Hail"
"OKLAHOMA",1994,"June","Hail"
"OKLAHOMA",1994,"June","Hail"
"OKLAHOMA",1994,"June","Thunderstorm Wind"
"OKLAHOMA",1994,"March","Hail"
"OKLAHOMA",1994,"March","Hail"
"TEXAS",1994,"May","Tornado"
"TEXAS",1994,"May","Hail"
"TEXAS",1994,"May","Hail"
"TEXAS",1994,"May","Hail"
"TEXAS",1994,"April","Hail"
"TEXAS",1994,"April","Hail"
"NEW JERSEY",1994,"June","Thunderstorm Wind"
"NEW JERSEY",1994,"June","Hail"
"SOUTH CAROLINA",1994,"June","Hail"
"SOUTH CAROLINA",1994,"June","Thunderstorm Wind"
"MINNESOTA",1994,"July","Hail"
"MINNESOTA",1994,"August","Hail"
"MINNESOTA",1994,"August","Tornado"
"MINNESOTA",1994,"August","Hail"
"MINNESOTA",1994,"August","Hail"
"MISSISSIPPI",1994,"November","Tornado"
"CONNECTICUT",1994,"September","Thunderstorm Wind"
"CONNECTICUT",1994,"June","Hail"
"CONNECTICUT",1994,"July","Hail"
"CONNECTICUT",1994,"August","Thunderstorm Wind"
"PENNSYLVANIA",1994,"July","Thunderstorm Wind"
"PENNSYLVANIA",1994,"July","Hail"
"TEXAS",1994,"May","Thunderstorm Wind"
"TEXAS",1994,"May","Tornado"
"ILLINOIS",1994,"June","Hail"
"ILLINOIS",1994,"June","Thunderstorm Wind"
"ILLINOIS",1994,"July","Thunderstorm Wind"
"ILLINOIS",1994,"July","Hail"
"NEW YORK",1994,"June","Thunderstorm Wind"
"NEW YORK",1994,"June","Thunderstorm Wind"
"NEW YORK",1994,"April","Thunderstorm Wind"
"NEW YORK",1994,"August","Thunderstorm Wind"
"NEW YORK",1994,"August","Thunderstorm Wind"
"OKLAHOMA",1994,"March","Hail"
"OKLAHOMA",1994,"March","Tornado"
"OKLAHOMA",1994,"March","Hail"
"OKLAHOMA",1994,"July","Thunderstorm Wind"
"OKLAHOMA",1994,"July","Thunderstorm Wind"
"OKLAHOMA",1994,"April","Hail"
"OKLAHOMA",1994,"May","Thunderstorm Wind"
"OKLAHOMA",1994,"June","Hail"
"OKLAHOMA",1994,"June","Hail"
"OKLAHOMA",1994,"June","Hail"
"OKLAHOMA",1994,"June","Hail"
"OKLAHOMA",1994,"July","Hail"
"OKLAHOMA",1994,"July","Thunderstorm Wind"
"OKLAHOMA",1994,"August","Hail"
"OKLAHOMA",1994,"October","Hail"
"OKLAHOMA",1994,"August","Thunderstorm Wind"
"OKLAHOMA",1994,"August","Thunderstorm Wind"
"OKLAHOMA",1994,"August","Tornado"
"OKLAHOMA",1994,"August","Hail"
"OKLAHOMA",1994,"April","Hail"
"OKLAHOMA",1994,"April","Hail"
"OKLAHOMA",1994,"April","Hail"
"OKLAHOMA",1994,"April","Hail"
"OKLAHOMA",1994,"June","Thunderstorm Wind"
"OKLAHOMA",1994,"June","Thunderstorm Wind"
"OKLAHOMA",1994,"April","Hail"
"OKLAHOMA",1994,"April","Hail"
"FLORIDA",1994,"June","Thunderstorm Wind"
"FLORIDA",1994,"July","Thunderstorm Wind"
"FLORIDA",1994,"August","Thunderstorm Wind"
"FLORIDA",1994,"August","Hail"
"FLORIDA",1994,"August","Thunderstorm Wind"
"FLORIDA",1994,"August","Thunderstorm Wind"
"FLORIDA",1994,"August","Thunderstorm Wind"
"FLORIDA",1994,"September","Tornado"
"SOUTH CAROLINA",1994,"August","Hail"
"SOUTH CAROLINA",1994,"August","Tornado"
"ILLINOIS",1994,"June","Hail"
"TEXAS",1994,"May","Tornado"
"TEXAS",1994,"May","Thunderstorm Wind"
"TEXAS",1994,"April","Thunderstorm Wind"
"TEXAS",1994,"May","Hail"
"TEXAS",1994,"May","Thunderstorm Wind"
